Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Armenia;ARM;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.93645843860231;-47.1773475584814;-75.3836603288723;-86.485628076862;-82.958696060173;-87.5164219613958;-83.934629765978;-83.2883383621831;-85.061188348468;-82.8215456133512;-82.5150023339637;-85.0751440079692;-83.2974817253045;-81.9096154493963;-78.5241649462707;-78.6059739847258;-75.1959807700637;-72.8177438992113;-78.3350416985481;-79.3114566339912;-76.400017324267;-72.7162044455994;-73.5665372158941;-72.2778042454079;-72.9683687758962;-74.1343881886998;-72.6218834365571;-71.3591368665213;-69.0824394492808;-66.7253766824991;-64.0839071996766;-62.5882454848629;-63.9140331374729;-63.9385758490094;
American Samoa;ASM;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Antigua and Barbuda;ATG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.426829268292694;1.09756097560976;-1.40243902439025;7.3780487804878;12.3170731707317;11.4024390243902;17.8658536585366;20.6707317073171;22.2560975609756;-17.2560975609756;-19.1463414634146;-8.47560975609756;-0.182926829268293;1.46341463414634;5.18292682926829;19.6341463414634;30.8536585365854;40.9146341463415;62.6219512195122;70.0609756097561;29.7560975609756;38.2926829268293;58.4146341463414;70.5487804878049;77.4390243902439;92.0121951219512;69.0243902439024;75.1219512195122;108.90243902439;98.780487804878;102.134146341463;109.146341463415;109.817073170732;117.19512195122;
Australia;AUS;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.72801253083199;1.94541166303586;3.35383396647644;5.28333003258739;8.99450875897953;12.5895252327026;16.0816664566192;23.1912572241327;25.3553103001278;27.4312154546928;29.7833750427597;32.7408674360406;32.5604306573286;37.5434888284752;38.3154672956088;40.5004050915507;44.2849684028591;45.5925319122122;47.7418576598311;49.5488180328755;48.6639180454783;48.8478476135607;46.100282663882;42.7514898367031;44.2599787551987;47.1340042849684;48.0695317141674;47.36243991142;46.8802909457537;41.3484327458006;38.5358010910466;36.1342023297265;35.9291719928704;38.0563167275805;
Austria;AUT;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.39740757585601;-1.7107400428822;-1.61912806185434;-0.767006692222727;4.0492820479501;10.4156649990254;9.69089078032617;10.6074978883763;7.57212007017087;8.33376648690793;15.9317133389643;18.9321681502177;26.9724189461374;29.3104736534338;30.6180560067572;27.1387499187837;22.5425573387044;22.2167175622117;10.5519459424339;19.8749269053343;17.2555389513352;12.1121109739458;13.067377038529;7.08563446169839;9.41979078682347;10.087876031447;13.8410434669612;9.23721655512961;11.7157754531869;2.19641348840232;7.53589760249498;1.75946982002468;-5.01575596127607;-5.73971801702293;
Azerbaijan;AZE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.29882190277312;-19.9964721226419;-29.8255304288331;-38.507850418;-39.6340985382472;-49.394559229141;-51.1435311557896;-51.2208593766704;-51.1927076280548;-48.6950417287312;-50.6148840789389;-51.0259352438512;-46.9473170314516;-47.436230944117;-44.3748173699852;-43.0915965248626;-48.4700059154307;-42.5723927560918;-50.1418277968228;-52.5407844003678;-47.4930689682206;-42.4829485927689;-40.8246680588122;-38.1290490410588;-38.4886074505919;-38.6799680709281;-39.0176108786909;-38.0616986551304;-34.1072688527628;-36.9138912843612;-33.3191980671508;-29.2934980151236;-25.6191602939185;-30.7119541589754;
Burundi;BDI;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.7828685258964;11.4043824701195;23.9043824701195;28.3366533864542;26.4442231075697;35.6573705179283;34.7111553784861;42.7788844621514;48.9043824701195;45.6673306772908;17.4302788844622;10.906374501992;-7.8187250996016;9.11354581673305;-8.36653386454184;14.7410358565737;85.6573705179283;9.91035856573705;10.7569721115538;59.3127490039841;106.872509960159;98.8545816733068;125.199203187251;101.942231075697;116.633466135458;141.982071713147;172.061752988048;286.703187250996;281.075697211155;361.05577689243;346.91235059761;363.197211155379;372.858565737052;382.4203187251;
Belgium;BEL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3834790965301;1.55402074157476;-0.100590852535543;5.36645722471132;5.60433516354;9.92240257581658;7.36238696480702;9.92335236069028;6.17921404438257;7.8417692938004;8.5824288071479;2.31169003856988;6.52372692130687;5.32173099156676;2.75627570355315;0.225876111787948;-2.50570518504831;-1.35214828386825;-7.35988298650356;-0.787976068874952;-9.77492688815075;-11.0533373281861;-9.89175042761906;-15.5726727896132;-11.5694158909371;-12.4888939927834;-13.8550300175192;-13.2600329661695;-13.3852318813425;-20.626132726392;-17.0912061145423;-22.5694789221151;-25.9771343608855;-25.186049905151;
Benin;BEN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.0672353236327;-4.46562970396387;-3.31159056698445;-1.63070747616658;0;169.969894631209;242.398394380331;230.030105368791;261.640742599097;287.882589061716;365.955845459107;437.606623181134;502.107375815354;541.846462619167;602.834922227797;868.163572503763;1003.51229302559;995.383843452082;1075.23833416959;1174.83692925238;1144.63120923231;1085.37380832915;1147.03963873557;1269.74410436528;1357.70195684897;1693.10085298545;1717.48620170597;1969.99498243853;1943.02558956347;2084.11941796287;1592.59909683894;1671.04867034621;1629.10185649774;1668.21374811841;
Burkina Faso;BFA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);EN.GHG.CO2.ZG.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.3076688053774;20.6843874121601;26.4894592117324;37.8551787351054;41.6743049190345;56.7674915979224;148.762603116407;135.869233119462;146.89886953865;166.605560647724;211.73235563703;230.827986556676;268.530400244424;226.64222425909;247.784906813321;251.267949893064;399.3583868011;480.59883898564;462.816987473266;499.541704857929;577.39077299114;688.725939505041;828.964252978919;741.338221814849;1102.59700580507;1101.16101435991;1287.35105407883;1553.52887259395;1641.30766880538;1641.85762297586;1866.72777268561;1882.43201955393;1813.74885426215;1878.52123434158;
